Time,Type,Count,Average,Median,Percentile90,Percentile99,Maximum 
22:00:00,101,40,247.675,247.0,276.9,291.0,291.0
22:00:00,103,38,219.07894736842104,212.0,289.2,332.0,332.0
22:00:00,109,15,278.53333333333336,272.0,319.2,324.0,324.0
22:00:00,111,14,227.85714285714286,220.5,284.0,311.0,311.0
22:00:01,101,44,251.45454545454547,249.0,298.0,315.0,315.0
22:00:01,103,54,210.1851851851852,209.0,236.0,290.0,290.0
22:00:01,109,3,254.33333333333334,240.0,283.0,283.0,283.0
22:00:01,111,4,229.25,231.0,232.0,232.0,232.0
22:00:02,101,46,253.7173913043478,247.5,269.6,538.0,538.0
22:00:02,103,42,220.11904761904762,213.0,275.5,331.0,331.0
22:00:03,101,35,242.5142857142857,246.0,265.4,284.0,284.0
22:00:03,103,30,212.33333333333334,211.0,238.60000000000002,258.0,258.0
22:00:03,111,1,232.0,232.0,232.0,232.0,232.0
22:00:04,129,1,308.0,308.0,308.0,308.0,308.0
22:00:04,101,58,245.3793103448276,245.5,267.1,328.0,328.0
22:00:04,103,58,228.86206896551724,209.5,327.20000000000005,435.0,435.0
22:00:04,109,1,252.0,252.0,252.0,252.0,252.0
22:00:05,101,50,239.4,241.5,265.3,286.0,286.0
22:00:05,103,49,210.73469387755102,211.0,235.0,282.0,282.0
22:00:06,101,53,244.03773584905662,243.0,268.6,326.0,326.0
22:00:06,103,53,209.73584905660377,207.0,249.0,327.0,327.0
22:00:06,111,1,218.0,218.0,218.0,218.0,218.0
22:00:07,101,46,237.47826086956522,240.5,263.90000000000003,302.0,302.0
22:00:07,103,44,215.38636363636363,211.0,268.0,295.0,295.0
22:00:07,109,1,241.0,241.0,241.0,241.0,241.0
22:00:07,111,1,227.0,227.0,227.0,227.0,227.0
22:00:08,101,47,243.04255319148936,245.0,271.6,307.0,307.0
22:00:08,103,44,216.52272727272728,208.5,266.0,318.0,318.0
22:00:08,109,3,253.0,249.0,264.0,264.0,264.0
22:00:08,111,3,222.66666666666666,229.0,240.0,240.0,240.0
22:00:09,129,1,246.0,246.0,246.0,246.0,246.0
22:00:09,101,48,250.9375,245.5,294.3,370.0,370.0
22:00:09,103,53,226.26415094339623,213.0,281.4,362.0,362.0
22:00:09,109,3,239.33333333333334,240.0,241.0,241.0,241.0
22:00:09,111,2,240.5,240.5,245.0,245.0,245.0
22:00:10,101,47,245.06382978723406,245.0,270.2,343.0,343.0
22:00:10,103,42,210.3095238095238,210.0,242.4,277.0,277.0
22:00:10,109,3,250.0,245.0,265.0,265.0,265.0
22:00:10,111,2,210.0,210.0,213.0,213.0,213.0
22:00:11,101,61,247.37704918032787,243.0,277.0,377.0,377.0
22:00:11,103,63,223.8095238095238,213.0,272.2,334.0,334.0
22:00:12,101,66,247.0909090909091,242.0,271.40000000000003,410.0,410.0
22:00:12,103,73,219.4794520547945,212.0,273.00000000000006,331.0,331.0
22:00:12,109,5,263.6,269.0,285.0,285.0,285.0
22:00:12,111,7,222.85714285714286,199.0,298.0,298.0,298.0
22:00:13,101,54,244.7962962962963,243.5,270.0,373.0,373.0
22:00:13,103,51,218.52941176470588,211.0,288.2000000000001,328.0,328.0
22:00:14,129,1,276.0,276.0,276.0,276.0,276.0
22:00:14,101,52,246.25,246.0,271.20000000000005,383.0,383.0
22:00:14,103,56,218.07142857142858,210.0,247.40000000000003,569.0,569.0
